BARRAGES,ANNEE DE MISE EN SERVICE,HAUTEUR SUR FONDATION (m),CAPACITE DE LA RETENUE (Mm3),FONCTION
TOUIZGUI REMZ,2007,18,78.00,AC/ I/ AN/ EC
TANGER MED,2008,80,25.00,AEPI/ PI
YAACOUB EL MANSOUR,2008,70,70.00,AEP
AL HIMER,2008,44,14.00,PI/ AN
TATIOUIN,2008,18,0.20,I/ E
SIDI YAHYA,2009,30,11.00,PI/ I
EL HANDAK,2009,27,0.10,PI
CHBIKA,2009,24,1.50,I
TAKHZRIT,2009,22,1.20,I
SIDI EL MAHJOUB,2009,22,1.00,AC/ I/ PI
MAZER,2011,47.5,13.00,PI/ AN/ I
SFEISSIF,2011,29,20.00,PI/ I
ABOU ABBASS ESSABTI,2012,75,25.00,I/ AEP/PI
KOUDIAT EL GARN,2012,54.5,33.00,PI
EL MALLEH Amont,2012,49,35.00,PI
TIOUINE,2013,84,270.00,AEP/ I/ PI
ZERRAR,2014,84,123,AEPI. I/ PI
TAMALOUT,2014,61,50,I. AEP/ PI
MY BOUCHETA,2014,57.5,11.6,I/ AEP/ PI
